"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1772","0xa2fb24202db6c0b120e91a1b2ff671dbbbe88e2d","979.462873012328469709","979462873012328469709","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1773","0x16d33ed79ef60e74d7e4fd3776aad391f29cbf2d","978.436826982928277059","978436826982928277059","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1774","0xc644d7b70b5a8940409c6ea04949981e6fab4a89","977.5139065409519692","977513906540951969200","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1775","0x9e4805f95ff722a5ac3686936608692c95e411a9","968.30380388711102827","968303803887111028270","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1776","0xcba3984fbb08f0f7c1bbffce57277fe2881d7d41","967.932717657595349992","967932717657595349992","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1777","0xf50a0c58c959071d3937bfaa85265fdf9364345a","967.898410097781308595","967898410097781308595","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1778","0x6a8c1cff6bf9183a7e74d0a3c5694424b5075134","967.413966727961771374","967413966727961771374","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1779","0xee02568c9140e7a87eda83c3fdc5e7dcff3d2071","967.25216772879978281","967252167728799782810","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1780","0x1f01a21790196b220acb184c8ab8a97379dba063","966.944719849623109785","966944719849623109785","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1781","0x12f35ee435f6674084e5a4b252b5dc90d066b81e","964.606875421979582696","964606875421979582696","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1782","0xe3e1191557037ca31dd33a582a4263e0b12e949a","958.517026251260042121","958517026251260042121","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1783","0x6d6fa74b78654924def772b3e84557f11d481c0b","955.426405069454136729","955426405069454136729","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1784","0x2cf6ada56e42dc4d8cfabb321c005caad32a9be9","954.179490479728230494","954179490479728230494","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1785","0xc784c70cddbfe35e0fdbe2f67c028aa4ae9a6a98","953.461939688924209014","953461939688924209014","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1786","0x9a51a4dffe37657f66692bce976f6945b5ab793b","950.878321955001199931","950878321955001199931","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
